Product ID : 961 # of JPs covered : 1 : 117 : Litigation, 
OID,Confidence at Map Node,Error at Map Node
us_000484568,0.410027, 0.067720
us_000549172,0.410027, 0.068056
us_000472621,0.410027, 0.068094
us_000482063,0.410027, 0.068283
us_000488695,0.410027, 0.068486
us_000476612,0.410027, 0.068665
us_000467193,0.410027, 0.068665
us_000584717,0.410027, 0.069041
us_000614562,0.410027, 0.069453
us_000528318,0.410027, 0.069620
us_000480370,0.410027, 0.069863
us_000558386,0.410027, 0.069950
us_000474657,0.410027, 0.069950
us_000498337,0.410027, 0.069950
us_000467294,0.410027, 0.070002
us_000472606,0.410027, 0.070171
us_000467137,0.410027, 0.070171
us_000474519,0.410027, 0.070171
us_000087655,0.410027, 0.070171
us_000520920,0.410027, 0.070240
us_000401048,0.410027, 0.070280
us_000469197,0.410027, 0.070559
us_000528330,0.410027, 0.070572
us_000488698,0.410027, 0.070999
us_000521192,0.410027, 0.071184
us_000400389,0.410027, 0.071216
us_000498305,0.410027, 0.071320
us_000566970,0.410027, 0.071366
us_000488168,0.410027, 0.071674
us_000459822,0.410027, 0.071713
us_000462929,0.410027, 0.071713
us_000487849,0.410027, 0.071713
us_000481776,0.410027, 0.071713
us_000474599,0.410027, 0.071713
us_000584668,0.410027, 0.071713
us_000482988,0.410027, 0.071737
us_000474367,0.410027, 0.071786
us_000474374,0.410027, 0.071786
us_000462756,0.410027, 0.071786
us_000558355,0.410027, 0.071938
us_000558354,0.410027, 0.071938
us_000482071,0.410027, 0.072222
us_000490404,0.410027, 0.072588
us_000566945,0.410027, 0.072609
us_000546454,0.410027, 0.072609
us_000488137,0.410027, 0.072747
us_000488187,0.410027, 0.072747
us_000487305,0.410027, 0.072747
us_000558422,0.410027, 0.072747
us_000558518,0.410027, 0.072897
us_000479343,0.410027, 0.072899
us_000088666,0.410027, 0.072960
us_000383282,0.410027, 0.073113
us_000558495,0.410027, 0.073224
us_000464281,0.410027, 0.073293
us_000512382,0.410027, 0.073293
us_000540270,0.410027, 0.073293
us_000589278,0.410027, 0.073293
us_000462580,0.410027, 0.073293
us_000473974,0.410027, 0.073293
us_000464185,0.410027, 0.073293
us_000467235,0.410027, 0.073293
us_000072378,0.410027, 0.073293
us_000480350,0.410027, 0.073293
us_000487871,0.410027, 0.073293
us_000467198,0.410027, 0.073293
us_000482365,0.410027, 0.073293
us_000500836,0.410027, 0.073293
us_000556366,0.410027, 0.073293
us_000585252,0.410027, 0.073293
us_000474290,0.410027, 0.073293
us_000458593,0.410027, 0.073293
us_000488132,0.410027, 0.073317
us_000582955,0.410027, 0.073325
us_000528358,0.410027, 0.073361
us_000566982,0.410027, 0.073377
us_000484029,0.410027, 0.073420
us_000462582,0.410027, 0.073494
us_000567488,0.410027, 0.073504
us_000520849,0.410027, 0.073582
us_000589054,0.410027, 0.073728
us_000512381,0.410027, 0.073740
us_000566998,0.410027, 0.073792
us_000462560,0.410027, 0.073802
us_000578587,0.410027, 0.074012
us_000500718,0.410027, 0.074027
us_000566983,0.410027, 0.074071
us_000521433,0.410027, 0.074127
us_000528455,0.410027, 0.074329
us_000480225,0.410027, 0.074374
us_000383307,0.410027, 0.074377
us_000528312,0.410027, 0.074477
us_000498379,0.410027, 0.074477
us_000528354,0.410027, 0.074477
us_000500738,0.410027, 0.074552
us_000566993,0.410027, 0.074662
us_000575842,0.410027, 0.074699
us_000521672,0.410027, 0.074746
us_000558338,0.410027, 0.075067
us_000486208,0.410027, 0.075518
