Product ID : 1043 # of JPs covered : 1 : 229 : Environmental Litigation, 
OID,Confidence at Map Node,Error at Map Node
us_000534074,0.137370, 0.254841
us_000258211,0.137370, 0.256625
us_000458919,0.137370, 0.257319
us_000463178,0.137370, 0.258412
us_000463951,0.137370, 0.258931
us_000463955,0.137370, 0.258931
us_000591271,0.137370, 0.260346
us_000571566,0.137370, 0.260581
us_000477909,0.137370, 0.262179
us_000508550,0.137370, 0.262179
us_000527345,0.137370, 0.262179
us_000481969,0.137370, 0.262179
us_000477649,0.137370, 0.262179
us_000482013,0.137370, 0.262179
us_000207617,0.137370, 0.262179
us_000519490,0.137370, 0.262179
us_000519483,0.137370, 0.262179
us_000470773,0.137370, 0.262179
us_000513208,0.137370, 0.262179
us_000458892,0.137370, 0.262179
us_000470356,0.137370, 0.262179
us_000479973,0.137370, 0.262179
us_000499410,0.137370, 0.262179
us_000492188,0.137370, 0.262179
us_000552346,0.137370, 0.262179
us_000495176,0.137370, 0.262179
us_000481950,0.137370, 0.262179
us_000581930,0.137370, 0.262179
us_000499757,0.137370, 0.262179
us_000482045,0.137370, 0.262179
us_000460093,0.137370, 0.262179
us_000476781,0.137370, 0.262179
us_000520080,0.137370, 0.262179
us_000481986,0.137370, 0.262179
us_000520767,0.137370, 0.262179
us_000519717,0.137370, 0.262179
us_000477044,0.137370, 0.262179
us_000481783,0.137370, 0.262179
us_000496461,0.137370, 0.262179
us_000477792,0.137370, 0.262179
us_000615276,0.137370, 0.262179
us_000593151,0.137370, 0.262179
us_000519339,0.137370, 0.262179
us_000520529,0.137370, 0.262179
us_000547796,0.137370, 0.262179
us_000496058,0.137370, 0.262179
us_000540084,0.137370, 0.262179
us_000525544,0.137370, 0.262179
us_000486518,0.137370, 0.262179
us_000467720,0.137370, 0.262179
us_000520544,0.137370, 0.262179
us_000498172,0.137370, 0.262589
us_000467873,0.137370, 0.262866
us_000495079,0.137370, 0.263129
us_000562979,0.137370, 0.264147
us_000582909,0.137370, 0.264147
us_000582919,0.137370, 0.264147
us_000582910,0.137370, 0.264147
us_000563241,0.137370, 0.264147
us_000582911,0.137370, 0.264147
us_000526657,0.137370, 0.267499
us_000550691,0.137370, 0.268497
us_000546922,0.137370, 0.268500
us_000527137,0.137370, 0.269333
us_000515447,0.137370, 0.269460
us_000551114,0.137370, 0.270162
us_000390337,0.137370, 0.270291
us_000459734,0.137370, 0.270884
us_000479905,0.137370, 0.270884
us_000459517,0.137370, 0.270884
us_000459769,0.137370, 0.270884
us_000459499,0.137370, 0.270884
us_000459478,0.137370, 0.270884
us_000483625,0.137370, 0.271114
us_000516404,0.137370, 0.271812
us_000538343,0.137370, 0.272028
us_000084180,0.137370, 0.272062
us_000566943,0.137370, 0.272168
us_000559232,0.137370, 0.273408
us_000551252,0.137370, 0.273917
us_000460023,0.137370, 0.274318
us_000476089,0.137370, 0.275421
us_000592623,0.137370, 0.275750
us_000492589,0.137370, 0.276070
us_000497194,0.137370, 0.276070
us_000497614,0.137370, 0.276070
us_000487605,0.137370, 0.276070
us_000497705,0.137370, 0.276070
us_000582874,0.137370, 0.278871
us_000146279,0.137370, 0.278871
us_000491712,0.137370, 0.278871
us_000547716,0.137370, 0.278871
us_000571597,0.137370, 0.280317
us_000530721,0.137370, 0.281791
us_000490544,0.137370, 0.281811
us_000490870,0.137370, 0.281811
us_000534433,0.137370, 0.281811
us_000512824,0.137370, 0.281811
us_000465971,0.137370, 0.281811
us_000468410,0.137370, 0.281811
us_000475035,0.137370, 0.281811
us_000568513,0.137370, 0.282632
us_000571176,0.137370, 0.283354
us_000530870,0.137370, 0.284890
us_000527095,0.137370, 0.284890
us_000478318,0.137370, 0.284890
us_000491415,0.137370, 0.284890
us_000593079,0.137370, 0.284890
us_000612512,0.137370, 0.284890
us_000395673,0.137370, 0.284890
us_000547804,0.137370, 0.284890
us_000593822,0.137370, 0.284890
us_000535277,0.137370, 0.284890
us_000547879,0.137370, 0.284890
us_000492966,0.137370, 0.284890
