Product ID : 2121 JPs covered : 145 : White Collar Crime, 
OID,Confidence at Map Node,Error at Map Node
us_000539063,0.081597, 0.033406
us_000474168,0.081597, 0.034844
us_000463865,0.081597, 0.037198
us_000474041,0.081597, 0.039983
us_000472781,0.081597, 0.040570
us_000588355,0.081597, 0.042041
us_000535507,0.081597, 0.046052
us_000017113,0.081597, 0.049843
us_000594953,0.081597, 0.052466
us_000490773,0.081597, 0.053314
us_000352337,0.081597, 0.053473
us_000572335,0.081597, 0.057789
us_000484871,0.081597, 0.076576
us_000498694,0.081597, 0.099217
us_000528497,0.081597, 0.101306
us_000529914,0.081597, 0.107250
us_000550531,0.081597, 0.157218
us_000535832,0.081597, 0.234843
us_000513075,0.081597, 0.279443
us_000538378,0.081597, 0.297040
us_000506302,0.081597, 0.346667
us_000469544,0.081597, 0.375093
us_000499512,0.081597, 0.428810
us_000535479,0.081597, 0.447256
us_000529132,0.081597, 0.517559
us_000582734,0.081597, 0.613068
pr_000169063,0.001935, 0.000000
us_000474672,0.001935, 0.000000
