Product ID : 2071 # of JPs covered : 1 : 403 : Tax Law-Foreign, 
OID,Confidence at Map Node,Error at Map Node
pr_001593166,0.124505, 0.000002
pr_001072883,0.124505, 0.000002
pr_000690490,0.124505, 0.000002
pr_002225998,0.124505, 0.000002
pr_000866125,0.124505, 0.000002
pr_001681274,0.124505, 0.000002
pr_001963255,0.124505, 0.000002
pr_000786016,0.124505, 0.000002
pr_001110356,0.124505, 0.000002
pr_001759979,0.124505, 0.000002
pr_000651486,0.124505, 0.000002
pr_001946893,0.124505, 0.000002
pr_000779960,0.124505, 0.000008
pr_000940324,0.124505, 0.000008
pr_000860763,0.124505, 0.000008
pr_001951829,0.124505, 0.000008
us_000599048,0.124505, 0.000009
pr_000750522,0.124505, 0.000015
pr_001094797,0.124505, 0.000046
us_000582581,0.124505, 0.000130
pr_000647733,0.124505, 0.000173
pr_000910324,0.124505, 0.000196
pr_000369362,0.124505, 0.000209
pr_000993966,0.124505, 0.000209
pr_000362699,0.124505, 0.000393
us_000489909,0.124505, 0.018866
us_000587549,0.124505, 0.030736
pr_001619476,0.065632, 0.000005
pr_001880504,0.065632, 0.000005
us_000592098,0.065632, 0.332402
us_000565061,0.065632, 0.334505
us_000579497,0.065632, 0.430427
us_000564336,0.065632, 0.443682
us_000573668,0.065632, 0.444546
us_000537713,0.065632, 0.450347
us_000528627,0.065632, 0.455799
us_000565078,0.065632, 0.465486
us_000579545,0.065632, 0.485110
us_000555514,0.065632, 0.535464
us_000585996,0.065632, 0.541924
us_000552217,0.065632, 0.566528
us_000580912,0.065632, 0.672173
us_000580873,0.065632, 0.680029
us_000585771,0.065632, 0.696413
us_000517689,0.065632, 0.700805
us_000517730,0.065632, 0.705049
us_000565975,0.065632, 0.708686
us_000597097,0.065632, 0.713822
us_000495264,0.065632, 0.717744
us_000482999,0.065632, 0.724920
us_000560203,0.065632, 0.725880
us_000585489,0.065632, 0.733923
us_000530150,0.065632, 0.737853
us_000471262,0.065632, 0.739508
us_000556986,0.065632, 0.740861
