Product ID : 2120 # of JPs covered : 1 : 297 : Emp-Lit-Wage Hour, 
OID,Confidence at Map Node,Error at Map Node
pr_001588185,0.160304, 0.000000
pr_001122319,0.160304, 0.000000
pr_000002297,0.160304, 0.000000
pr_000591602,0.160304, 0.000001
pr_000591771,0.160304, 0.000012
pr_002189791,0.160304, 0.000105
pr_000343586,0.160304, 0.000116
pr_000592902,0.160304, 0.000230
us_000528016,0.160304, 0.000569
us_000498215,0.160304, 0.002513
us_000522621,0.160304, 0.002513
us_000498744,0.160304, 0.002513
us_000497609,0.160304, 0.002513
us_000587620,0.160304, 0.005378
us_000495843,0.160304, 0.030597
us_000523399,0.160304, 0.036405
us_000550049,0.160304, 0.099543
us_000472611,0.160304, 0.692230
us_000471521,0.160304, 0.734495
us_000482051,0.160304, 0.778809
us_000471893,0.160304, 0.891697
us_000459716,0.160304, 0.893280
us_000470545,0.160304, 0.943703
us_000482979,0.160304, 0.983716
pr_001024582,0.144935, 0.000000
pr_000980705,0.144935, 0.000000
pr_000911638,0.144935, 0.000000
pr_000268646,0.144935, 0.000000
pr_000023064,0.144935, 0.000002
pr_000592725,0.144935, 0.000102
us_000521104,0.144935, 0.010090
us_000488075,0.144935, 0.013133
us_000547370,0.144935, 0.481796
us_000491690,0.144935, 0.513078
pr_001013633,0.137396, 0.000000
pr_000972087,0.137396, 0.000000
pr_000539275,0.137396, 0.000000
pr_000279448,0.137396, 0.000000
pr_001056353,0.137396, 0.000000
pr_001395534,0.137396, 0.000000
pr_000540893,0.137396, 0.000000
pr_001015448,0.137396, 0.000000
us_000546428,0.137396, 0.000002
us_000501466,0.137396, 0.000002
pr_001152460,0.137396, 0.000008
pr_000210814,0.137396, 0.000099
pr_000529965,0.137396, 0.000108
pr_000742791,0.137396, 0.000153
pr_000209486,0.137396, 0.000186
pr_000197464,0.137396, 0.000222
pr_000567129,0.137396, 0.000228
pr_001055735,0.137396, 0.000321
pr_001053296,0.137396, 0.000361
us_000520844,0.137396, 0.000941
us_000539094,0.137396, 0.010057
us_000502384,0.137396, 0.011087
us_000523014,0.137396, 0.011087
us_000506775,0.137396, 0.033281
us_000547096,0.137396, 0.040478
us_000549357,0.137396, 0.060980
us_000580996,0.137396, 0.094354
us_000536832,0.137396, 0.854579
us_000485039,0.137396, 0.916289
us_000528270,0.137396, 0.945659
us_000461518,0.137396, 0.963543
us_000216672,0.137396, 0.974374
us_000507390,0.137396, 1.025097
us_000471809,0.137396, 1.053339
us_000492969,0.137396, 1.057859
us_000483994,0.137396, 1.116866
us_000485120,0.137396, 2.278991
pr_000103697,0.092160, 0.000000
pr_001685629,0.092160, 0.000000
us_000556898,0.092160, 0.000000
us_000464977,0.092160, 0.000000
us_000518445,0.092160, 0.000000
us_000502096,0.092160, 0.000000
us_000506471,0.092160, 0.000000
us_000603126,0.092160, 0.000000
us_000547441,0.092160, 0.000001
pr_001047203,0.092160, 0.000001
us_000524524,0.092160, 0.000005
us_000525905,0.092160, 0.000005
us_000590196,0.092160, 0.000639
us_000587170,0.092160, 0.001625
us_000588685,0.092160, 0.004460
us_000510992,0.092160, 0.004531
us_000516288,0.092160, 0.009095
us_000474685,0.092160, 0.013613
us_000465479,0.092160, 0.502892
us_000462615,0.092160, 0.522305
us_000482053,0.092160, 0.554694
pr_000122884,0.083777, 0.000002
us_000207891,0.083777, 0.000135
us_000504960,0.083777, 0.000222
pr_000188986,0.083777, 0.000601
us_000552954,0.083777, 0.000666
us_000553287,0.083777, 0.000994
us_000538952,0.083777, 0.000994
us_000537578,0.083777, 0.000994
us_000526457,0.083777, 0.001450
us_000534110,0.083777, 0.002403
us_000515004,0.083777, 0.012641
us_000482096,0.083777, 0.509054
us_000450693,0.083777, 0.538697
us_000470287,0.083777, 0.550365
us_000469187,0.083777, 0.551416
us_000246237,0.083777, 0.572278
us_000462904,0.083777, 0.572521
us_000470041,0.083777, 0.574923
us_000094821,0.083777, 0.576866
us_000497406,0.083777, 0.584087
us_000468485,0.083777, 0.593835
us_000481801,0.083777, 0.596078
us_000099005,0.083777, 0.596414
us_000474342,0.083777, 0.596977
us_000047394,0.083777, 0.606756
us_000487214,0.083777, 0.607250
us_000505544,0.083777, 0.607250
us_000048180,0.083777, 0.607250
us_000468285,0.083777, 0.607250
us_000296837,0.083777, 0.607250
us_000536738,0.083777, 0.607682
us_000486512,0.083777, 0.614209
us_000495153,0.083777, 0.618475
us_000303465,0.083777, 0.629187
us_000536759,0.083777, 0.631820
us_000460417,0.083777, 0.637756
us_000470091,0.083777, 0.663879
us_000465775,0.083777, 0.666892
us_000473964,0.083777, 0.712296
us_000486695,0.083777, 0.794369
us_000497214,0.083777, 0.797044
us_000178383,0.083777, 0.884495
us_000303674,0.083777, 0.944353
us_000593829,0.083777, 0.997867
