Product ID : 911 # of JPs covered : 1 : 198 : Corporate Finance, 
OID,Confidence at Map Node,Error at Map Node
us_000610119,0.598453, 0.002575
us_000609931,0.598453, 0.002576
us_000609127,0.598453, 0.002666
us_000614799,0.598453, 0.003224
us_000555086,0.598453, 0.003426
us_000609010,0.598453, 0.004445
pr_002230237,0.598453, 0.007885
us_000552066,0.598453, 0.012105
us_000607956,0.598453, 0.061227
us_000601185,0.598453, 0.080645
us_000531682,0.598453, 2.149151
us_000523277,0.598453, 2.308396
us_000532872,0.598453, 2.335972
us_000504410,0.598453, 2.907133
us_000493170,0.555875, 0.000000
us_000240392,0.555875, 0.000000
us_000545038,0.555875, 0.000000
us_000462921,0.555875, 0.000000
us_000553551,0.555875, 0.000000
us_000491591,0.555875, 0.000000
us_000493115,0.555875, 0.000000
us_000511468,0.555875, 0.000000
us_000468009,0.555875, 0.000000
us_000483091,0.555875, 0.000000
us_000484490,0.555875, 0.000000
us_000475588,0.555875, 0.000000
us_000465225,0.555875, 0.000000
us_000601730,0.555875, 0.000000
us_000475176,0.555875, 0.000000
us_000490984,0.555875, 0.000000
