Product ID : 935 # of JPs covered : 1 : 110 : International Law, 
OID,Confidence at Map Node,Error at Map Node
us_000474806,0.029430, 0.018366
us_000474172,0.029430, 0.018366
us_000479519,0.029430, 0.018366
us_000360587,0.029430, 0.018366
us_000471841,0.029430, 0.018366
us_000459877,0.029430, 0.018366
us_000493919,0.029430, 0.018366
us_000482304,0.029430, 0.018366
us_000464238,0.029430, 0.018366
us_000481286,0.029430, 0.018366
us_000463209,0.029430, 0.018366
us_000080117,0.029430, 0.018366
us_000466018,0.029430, 0.018366
us_000481388,0.029430, 0.018366
us_000465020,0.029430, 0.018366
us_000487962,0.029430, 0.018366
us_000471839,0.029430, 0.018366
us_000461430,0.029430, 0.018366
us_000463194,0.029430, 0.018366
us_000463629,0.029430, 0.018366
us_000468728,0.029430, 0.018366
us_000490249,0.029430, 0.018366
us_000476361,0.029430, 0.018366
us_000403449,0.029430, 0.018366
us_000469863,0.029430, 0.018366
us_000473340,0.029430, 0.018366
us_000471919,0.029430, 0.018366
us_000480442,0.029430, 0.018366
us_000484558,0.029430, 0.018366
us_000595129,0.029430, 0.018366
us_000461460,0.029430, 0.018366
us_000488273,0.029430, 0.018366
us_000460289,0.029430, 0.018366
us_000474797,0.029430, 0.018366
us_000463609,0.029430, 0.018366
us_000481369,0.029430, 0.018366
us_000474517,0.029430, 0.018366
