Product ID : 7792 # of JPs covered : 1 : 216 : Accounting-Non-Profit, 
OID,Confidence at Map Node,Error at Map Node
pr_001142056,0.963325,0.338729
pr_001127122,0.963325,0.338729
pr_001725257,0.963325,0.338729
pr_001126960,0.963325,0.338729
pr_001130281,0.963325,0.338729
pr_001126766,0.963325,0.338729
pr_000712975,0.963325,0.338729
pr_001157923,0.963325,0.338729
pr_001852840,0.963325,0.338729
pr_001131216,0.963325,0.338729
pr_001126131,0.963325,0.338729
pr_000862083,0.963325,0.338729
pr_001127078,0.963325,0.338729
pr_001792731,0.963325,0.338729
pr_000862924,0.963325,0.338729
pr_000556981,0.963325,0.338729
pr_001129953,0.963325,0.338729
pr_000720364,0.963325,0.338729
pr_001145747,0.963325,0.338729
pr_000715306,0.963325,0.338729
pr_001130954,0.963325,0.338729
